item,title,rating,body
'B07HZCZJ3N','Qualty','5.0 out of 5 stars','Fabric is good and comfortable to wear'
'B07HZCZJ3N','Value for money','3.0 out of 5 stars','Value for money'
'B07HZCZJ3N','Value for money','5.0 out of 5 stars','Good'
'B07HZCZJ3N','Superb fitting','5.0 out of 5 stars','The material is very comfortable and stretchable'
'B07HZCZJ3N','👍👍','5.0 out of 5 stars','Very beautiful colour good quality stretchableworthed 👍👍'
'B07HZCZJ3N','Value for money','4.0 out of 5 stars',Like the fabric it's fantastic 😊
'B07HZCZJ3N','Quality was great','4.0 out of 5 stars','Material was soft and stretchable'
'B07HZCZJ3N','So soft and quality is very nice 👍','4.0 out of 5 stars','Very comfortable with product.'
'B07HZCZJ3N','Bad','1.0 out of 5 stars','Its just a legging...dont overestimate'
'B07HZCZJ3N','Quality not upto the mark','1.0 out of 5 stars','Free size transparent looks indecent. Refer attached pic.'
'B07HZCZJ3N','EXCELLENT','5.0 out of 5 stars','I HAVE ORDERED THESE LEGGINGS 3 TIMES AND HAD TO RETURN THEM. ALL 3 TIMES WHY WAS I SENT USED TORN DEFECTIVE LEGGINGS? EXTREMELY LOW QUALITY STITCHING TOO.'
'B07HZCZJ3N','Manufacturing defect','5.0 out of 5 stars',I ordered white colour and stitching is missing from one leg side. I have no time to exchange that's why I resticted from my self by hand. This is very bad experience.
'B07HZCZJ3N','Very comfortable','4.0 out of 5 stars','Good material exact colour.....go for it'
'B07HZCZJ3N','Good','4.0 out of 5 stars','Good'
'B07HZCZJ3N','Good quality','5.0 out of 5 stars','Value for money'
'B07HZCZJ3N','Bad product','1.0 out of 5 stars','Material is very transferent'
'B07HZCZJ3N','size difference','1.0 out of 5 stars','product qulaity not up to the mark i ordered for Medium i have almost got L size not XL but L. i am not happy with it'
'B07HZCZJ3N','Good Product','4.0 out of 5 stars','Liked the product'
'B07HZCZJ3N','Little transparent','3.0 out of 5 stars','It’s fine! Fits well! But it is a little transparent so you can only wear it with Kurtas and not tops.'
'B07HZCZJ3N','Transparent','2.0 out of 5 stars','Transparent'
'B07HZCZJ3N','Poor','1.0 out of 5 stars','Poor quality products 😭'
'B07HZCZJ3N','Not good','2.0 out of 5 stars','Torn after 2 wash'
'B07HZCZJ3N','Free size','3.0 out of 5 stars','Free size but not fit for XL size other wise product is good. Good quality fabric.'
'B07HZCZJ3N','Too fit','1.0 out of 5 stars','Being a kurti pant it should be a little loose at bottom but its more like slax quite tight'
'B07HZCZJ3N','Pant','5.0 out of 5 stars','Very nice and comfortable pant'
'B07HZCZJ3N','very transparent','1.0 out of 5 stars',it'very thin and transparent. pathetic
'B07HZCZJ3N','Zero for this product.','1.0 out of 5 stars','Torn used shabby product received yesterday.'
'B07HZCZJ3N','Nice one . Fits properly.. correct length','5.0 out of 5 stars','Fitting nicely.. not too tight . Breathable... Correct length.. must buy.. nice one..'
'B07HZCZJ3N','Vero good','5.0 out of 5 stars','The media could not be loaded. Very nice stuff must to buy..very satisfied with stuff as well as comfort'
'B07HZCZJ3N','Nice product 👍','5.0 out of 5 stars','Very comfortable and nice product 👌'
'B07HZCZJ3N','Amazing product.. 👏','5.0 out of 5 stars','Product is very nice.. amazingly fit for every type of kurti / top / crop top and much more...'
'B07HZCZJ3N','good','4.0 out of 5 stars','thank u'
'B07HZCZJ3N','Ok','3.0 out of 5 stars','Okok'
'B07HZCZJ3N','Legging','3.0 out of 5 stars','Nothing like pants. This is legging'
'B07HZCZJ3N','Soft and comfortable','5.0 out of 5 stars','I like these lyra pants  they are very soft and comfortable the material is so soft and breathable there will be no problem wearing it in summer. Overall these pants are worth it'
'B07HZCZJ3N','Not a cotton pants','1.0 out of 5 stars','This is leggings not cotton pants. They said free size but it’s too small to wear. Returned'
'B07HZCZJ3N','Very tight.','2.0 out of 5 stars','My size for leggings is XL. But this was very tight. Definitely not free size. Had to return it.'
'B07HZCZJ3N','Soft nd comfy','5.0 out of 5 stars','Comfortable legging like fabric but pants like look'
'B07HZCZJ3N','Not so satisfying','2.0 out of 5 stars','I expected the trouser material to be thick but it turned out leggings material and plus it went above my ankle length'
'B07HZCZJ3N','Quality','3.0 out of 5 stars',"It's not a pant,"
'B07HZCZJ3N','Nice 👍','5.0 out of 5 stars','Nice fitting and comfortable..'
'B07HZCZJ3N','Value for money','5.0 out of 5 stars','It’s really good quality'
'B07HZCZJ3N','Value for money','5.0 out of 5 stars','Nice product'
'B07HZCZJ3N','Defective','1.0 out of 5 stars','Pocket found stitched'
'B07HZCZJ3N','Loved it','5.0 out of 5 stars','Lovely product'
'B07HZCZJ3N','The quality','2.0 out of 5 stars',It's more like legging not pant. It is not going to last after few wash.
'B07HZCZJ3N','Fit','4.0 out of 5 stars','Mast mall h'
'B07HZCZJ3N','Nice pant, good quality material','4.0 out of 5 stars'The material and color is good. It's soft fabric is very nice. It is Stretchable.
'B07HZCZJ3N','Good quality','5.0 out of 5 stars','Comfort fit'
'B07HZCZJ3N','Description was not as it is','3.0 out of 5 stars',I had ordered this pant in 2019 and it was so good and comfortable. Recently I ordered the same one but instead of tapered pants i received a leggings sort of pant. I needed a black pant urgently so I am keeping this but if you're not satisfied with the product plz do return. Although the quality is good.
